coreid,cae,const,age,pg_age,degree_count,gift_count,fys_giving,act_consistency,crn_consistency,child_count,event_count,married,gillett
680214,P     ,I     ,0,0,0,1,1,1,0.25,1,0,1,0
680277,P     ,I     ,0,0,0,1,1,1,0.25,1,0,1,0
680287,P     ,I     ,0,0,0,1,1,1,0.25,2,0,1,0
680342,P     ,I     ,0,0,0,2,2,1,1,3,0,1,0
680893,P     ,I     ,0,0,0,1,1,1,1,2,0,1,0
680948,P     ,I     ,0,0,0,1,1,1,0.25,1,0,1,0
681096,P     ,I     ,0,0,0,4,3,1,0.75,2,0,1,0
681159,P     ,I     ,0,0,0,4,2,0.666666667,0.5,1,0,1,0
681194,P     ,I     ,0,0,0,1,1,1,0.25,1,0,1,0
681277,P     ,I     ,0,0,0,4,4,1,1,1,0,1,0
