"coreid","gift_count","fys","first_fy","last_fy","act_yrs","unrestricted_count","unrestricted_percent","honmem_count","honmem_percent","event_count","vol_count","group_count","grad_yr","cons_giv_yrs","degree","major","dept","birth_year","birth_month","birth_day","post_direction","pre_direction","street_number","street_type","sub_addr","addr_flag1","addr_flag2","addr_flag3","addr_code1","addr_code2","addr_code3","addr_code4","addr_code5","median_income","annual_two","target"
85325,26,23,1987,2014,28,11,0.423077,0,0,2,0,0,1973,9,4,11,8,1950,12,22,1,4,170,6,5,1,1,1,2,1,90,2,704,40714,100,1
85332,4,4,2009,2013,5,4,1,0,0,0,0,0,1973,2,4,11,8,-1,-1,-1,4,1,3951,3,1,1,1,1,91,2,32,2,510,58125,5,0
85350,23,20,1991,2014,24,0,0,0,0,0,0,0,1973,0,3,32,8,1951,11,17,1,1,1417,1,1,1,1,1,81,1,82,2,176,51502,100,0
85351,6,5,2003,2014,12,4,0.666667,0,0,1,0,0,1973,0,4,41,3,-1,-1,-1,2,1,3949,14,1,1,1,1,4,2,225,2,498,56890,200,0
85353,9,8,1991,2014,24,0,0,0,0,1,0,0,1974,3,4,13,8,1952,2,27,1,5,3803,1,1,1,1,1,0,3,0,3,-1,46828,400,1
85361,7,7,2006,2014,9,7,1,0,0,0,0,0,1975,3,4,11,9,1953,10,8,1,1,707,4,1,1,1,1,24,1,89,1,79,42296,200,1
85431,9,9,2002,2014,13,7,0.777778,0,0,0,0,0,1968,5,3,12,8,-1,-1,-1,5,1,335,3,2,1,3,2,64,1,61,2,781,40808,650,1
85453,1,1,2013,2013,1,1,1,0,0,0,0,0,1999,2,2,40,2,1951,9,24,1,1,4450,14,1,1,1,1,36,2,348,2,506,51898,50,0
85462,8,6,1997,2014,18,0,0,0,0,11,0,1,1977,3,4,22,8,-1,-1,-1,1,1,457,4,2,1,1,1,0,5,0,3,-1,66263,50,1
85491,34,14,1992,2014,23,5,0.147059,0,0,8,0,0,1972,5,3,37,8,1950,1,11,5,1,2995,5,1,1,2,2,2,2,253,2,951,45773,600,1
85496,34,14,1992,2014,23,5,0.147059,0,0,8,0,0,1969,5,4,12,8,1947,1,22,5,1,2995,5,1,1,1,1,2,2,253,2,951,45773,600,1
85512,11,8,1996,2014,19,10,0.909091,0,0,0,0,0,1975,7,6,9,7,1952,9,29,1,1,1,6,1,1,2,2,26,1,27,2,12,61449,50,1
85536,4,3,1994,2014,21,0,0,0,0,0,0,2,1967,2,3,20,8,-1,-1,-1,5,1,1300,1,1,1,2,2,98,1,33,2,0,40808,50,1
85545,11,10,1993,2014,22,8,0.727273,0,0,0,0,0,1974,0,4,42,8,-1,-1,-1,1,2,3706,3,1,1,1,1,11,1,112,1,69,66833,250,0
85549,26,19,1984,2014,31,9,0.346154,0,0,0,0,0,1970,0,4,9,8,1948,4,2,1,2,3294,4,1,1,2,2,1,6,79,1,949,63438,100,1
85573,19,17,1990,2014,25,13,0.684211,0,0,0,0,0,1974,12,3,16,7,-1,-1,-1,1,1,1028,6,1,1,2,2,17,2,122,1,285,78375,50,0
